Month,Values
8,-3144.99
8,-61.89
8,-67.3
8,-688
8,-47.99
8,-4081.54
8,-23
8,-90.4
8,-587.36
8,-2.38
8,-58.64
8,-63.03
8,-345
8,-256.81
8,-108.39
8,-230.55
8,-28.14
8,-17.27
8,-44360.47
8,-7292.69
8,-249.35
8,-1169.21
8,-20.87
8,-17557.6
8,-413.15
8,-216.76
8,-1579
8,-2328.01
8,-267.02
8,-5056.53
8,-99.72
8,-108.43
8,-1108.44
8,-80.45
8,-34.32
8,-147.81
8,-910.36
8,-3.99
8,-98.31
8,-105.67
8,-559
8,-70.84
8,-128.35
8,-12.06
8,-4.76
8,-14958.78
8,-2378.59
8,-410
8,-20.87
8,-5421.36
8,-115.53
8,-77.92
8,-825.3
8,-546
8,-1369.16
8,-27.51
8,-29.91
8,-305.78
8,-22.58
8,-173.09
8,-51.53
8,-255.68
8,-1.12
8,-27.6
8,-29.66
8,-151
8,-70.84
8,-70
8,-76.3
8,-36.18
8,-7005.03
8,-4.76
8,-33369.73
8,-12338.46
8,-563.31
8,-1991.52
8,-13641.21
8,-309.85
8,-140.25
8,-2215.54
8,-901.01
8,-420
8,-1377
8,-859.12
8,-27.51
8,-29.91
8,-244.4
8,-171.02
8,-305.78
8,-18.82
8,-619.29
8,-739.86
8,-1259.84
8,-25.4
8,-1783.79
8,-182.42
8,-289.12
8,-1.26
8,-172.11
8,-33.37
8,-55.98
8,-636
8,-8.86
8,-15.9
8,-8.04
8,-0.6
8,-3121.81
8,-545.46
8,-102.5
8,-1141.95
8,-33.08
8,-15.58
8,-192
8,-126
8,-161.69
8,-3.44
8,-3.74
8,-41.18
8,-38.22
8,-30.48
