Month,Values,CostCarrier,CostElement
4,-457.34999999999997,T2B0000007,661001000
4,-6.19,T2B0000007,661201000
4,-12.8,T2B0000007,661202000
4,-57.39,T2B0000007,661301000
4,-8,T2B0000007,661302000
4,-75.05,T2B0000007,661402000
4,-8.64,T2B0000007,662212000
4,-406.8,T2B0000007,662213000
4,-14.3,T2B0000007,663701000
4,-60.24,T2B0000007,664001000
4,-15.42,T2B0000007,664104000
4,0.84,T2B0000007,664201000
4,-43,T2B0000007,710516000
4,-89.54,T2B0000008,610501000
4,-2321,T2B0000008,611601000
4,-40.2,T2B0000008,612205000
4,-4.36,T2B0000008,613101000
4,-20191.91,T2B0000008,640301000
4,-3585.7299999999996,T2B0000008,640302000
4,855.9,T2B0000008,640304000
4,-460.80999999999995,T2B0000008,640312000
4,-7012,T2B0000008,640901000
4,-189.73999999999998,T2B0000008,640901011
4,-67.29999999999998,T2B0000008,640901012
4,-1042.52,T2B0000008,640901013
4,-131.28000000000003,T2B0000008,641601000
4,-1768.84,T2B0000008,660801000
4,-497.54999999999995,T2B0000008,661001000
4,-30.93,T2B0000008,661201000
4,-64.01,T2B0000008,661202000
4,-58.47,T2B0000008,661301000
4,-152.16,T2B0000008,661302000
4,-375.24,T2B0000008,661402000
4,-15.989999999999998,T2B0000008,661701004
4,-43.21,T2B0000008,662212000
4,-211.2,T2B0000008,662213000
4,-71.35000000000001,T2B0000008,663701000
4,-213.35999999999999,T2B0000008,664001000
4,76.63,T2B0000008,664104000
4,4.21,T2B0000008,664201000
4,-131,T2B0000008,710516000
4,-6,T2B0000008,710520000
4,-0.01,T2B0000009,664609000
4,-240,T2B0000010,662101000
4,-762,T2B0000010,662201000
4,-62.68,T2B0000011,610501000
4,-733.65,T2B0000011,611601000
4,-44.22,T2B0000011,612205000
4,-3.05,T2B0000011,613101000
4,-20561.039999999997,T2B0000011,640301000
4,-1321.58,T2B0000011,640302000
4,-2162.45,T2B0000011,640304000
4,-1024.1200000000003,T2B0000011,640312000
4,60.25,T2B0000011,640606000
4,-7730.499999999999,T2B0000011,640901000
4,-209.62,T2B0000011,640901011
4,-140.16,T2B0000011,640901012
4,-960.96,T2B0000011,640901013
4,-82.01000000000005,T2B0000011,641601000
4,266.16,T2B0000011,641602000
4,-1158.53,T2B0000011,660801000
4,-21.65,T2B0000011,661201000
4,-44.81,T2B0000011,661202000
4,-262.67,T2B0000011,661402000
4,-999.79,T2B0000011,662202000
4,-56.18,T2B0000011,662212000
4,-473,T2B0000011,662213000
4,-101.52,T2B0000011,663701000
4,-379.59999999999997,T2B0000011,664001000
4,104.61,T2B0000011,664104000
4,5.47,T2B0000011,664201000
4,-173,T2B0000011,710516000
4,-71.63,T2B0000013,610501000
4,-360.05,T2B0000013,611601000
4,-64.89,T2B0000013,612205000
4,-3.49,T2B0000013,613101000
4,-18737.55,T2B0000013,640301000
4,-5058.75,T2B0000013,640302000
4,400,T2B0000013,640304000
4,-497.48,T2B0000013,640312000
4,-239.78,T2B0000013,640606000
4,-6676.5999999999985,T2B0000013,640901000
4,-146.11999999999998,T2B0000013,640901011
4,-85.12,T2B0000013,640901012
4,-1401.2000000000007,T2B0000013,640901013
4,393.93,T2B0000013,641601000
4,-1397.46,T2B0000013,660801000
4,-457.34999999999997,T2B0000013,661001000
4,-24.74,T2B0000013,661201000
