Month,Values,CostCarrier,CostElement
12,-0.42,T2B0000029,664101000
12,-7.79,T2B0000029,664104000
12,-69,T2B0000029,710516000
12,-30.71,T2B0000030,610001000
12,-161.22,T2B0000030,610501000
12,-32.5,T2B0000030,610601000
12,-91.91,T2B0000030,610601002
12,-92.2,T2B0000030,611601000
12,-5.17,T2B0000030,613101000
12,-14685.100000000006,T2B0000030,640301000
12,1084.9299999999998,T2B0000030,640302000
12,-1800,T2B0000030,640304000
12,-417.5100000000002,T2B0000030,640312000
12,-5715.71,T2B0000030,640901000
12,-129.64999999999998,T2B0000030,640901011
12,-99.28,T2B0000030,640901012
12,653.0499999999975,T2B0000030,640901013
12,-897.9699999999999,T2B0000030,641601000
12,-100.34,T2B0000030,641602000
12,-151.2,T2B0000030,660304004
12,-1880.19,T2B0000030,660801000
12,-498.97,T2B0000030,661001000
12,-34.15,T2B0000030,661201000
12,-47.84,T2B0000030,661202000
12,-121.98,T2B0000030,661301000
12,-904.77,T2B0000030,661402000
12,-17.38,T2B0000030,661701004
12,-327.64000000000004,T2B0000030,662208000
12,-28.27,T2B0000030,662212000
12,-168.00000000000003,T2B0000030,662213000
12,-387.73999999999995,T2B0000030,663701000
12,-287.3,T2B0000030,663901000
12,141.97999999999996,T2B0000030,663903000
12,-361.60999999999996,T2B0000030,664001000
12,-1.39,T2B0000030,664101000
12,-25.97,T2B0000030,664104000
12,-405,T2B0000030,710516000
12,-24766.52,T2B0000031,612809000
12,-285,T2B0000031,612809015
12,-901.13,T2B0000031,613101000
12,-6882.08,T2B0000031,660702000
12,-338073.2799999996,T2B0000031,660801000
12,670691.1400000001,T2B0000031,660807000
12,-5643.9,T2B0000031,661201000
12,-8088.930000000003,T2B0000031,661202000
12,-2404.79,T2B0000031,661301000
12,-178022.05,T2B0000031,661402000
12,-26205.4,T2B0000031,661404000
12,-1648.81,T2B0000031,662101000
12,-812,T2B0000031,662901000
12,-20.84,T2B0000031,663701000
12,-712.7,T2B0000031,663801000
12,-4180.09,T2B0000031,663903000
12,-19054.54,T2B0000031,664201000
12,-5060,T2B0000031,664605020
12,-55073.07,T2B0000031,710501000
12,-44387.5,T2B0000031,710516000
12,-531.4,T2B0000031,710520000
12,-779765,T2B0000031,712601000
12,-441,T2B0000031,712801000
12,-7391.27,T2B0000032,612712000
12,-57,T2B0000032,710516000
12,-27261.779999999955,T2B0000033,610501000
12,-2517,T2B0000033,662901000
12,-652.5899999999999,T2B0000033,664603009
12,-7217,T2B0000033,710501000
12,-3045,T2B0000033,710516000
12,-84,T2B0000033,710520000
12,-5199,T2B0000034,710501000
12,-499,T2B0000034,710516000
12,-64.49,T2B0000035,610501000
12,-50.7,T2B0000035,611601000
12,-572.36,T2B0000035,612809015
12,-2.07,T2B0000035,613101000
12,-12415.519999999999,T2B0000035,640301000
12,-292.1399999999994,T2B0000035,640302000
12,-1900,T2B0000035,640304000
12,-234.16000000000008,T2B0000035,640312000
12,-1000,T2B0000035,640606000
12,-5408.5,T2B0000035,640901000
12,-124.31,T2B0000035,640901011
12,-57.84,T2B0000035,640901012
12,550.1299999999992,T2B0000035,640901013
12,-348.09000000000003,T2B0000035,641601000
12,-2200,T2B0000035,660503000
12,-739.5999999999999,T2B0000035,660801000
12,-13.66,T2B0000035,661201000
12,-19.14,T2B0000035,661202000
12,-361.91,T2B0000035,661402000
12,230.98,T2B0000035,662202000
12,628.1,T2B0000035,662204000
12,-1330.3700000000001,T2B0000035,662208000
12,-11.31,T2B0000035,662212000
12,-150,T2B0000035,662213000
12,-7,T2B0000035,663101000
12,-24.449999999999996,T2B0000035,663701000
12,-174.14000000000001,T2B0000035,664001000
12,-0.55,T2B0000035,664101000
12,-836.67,T2B0000035,664104000
12,17.17,T2B0000035,664605019
12,-115,T2B0000035,710516000
12,-241.83,T2B0000036,610501000
12,-131.65,T2B0000036,611601000
12,-7.75,T2B0000036,613101000
12,-37299.07,T2B0000036,640301000
12,1090.6700000000055,T2B0000036,640302000
12,-3354.12,T2B0000036,640304000
12,-987.4499999999998,T2B0000036,640312000
12,-219.21,T2B0000036,640606000
12,-14697.739999999996,T2B0000036,640901000
12,-334.84000000000003,T2B0000036,640901011
12,-159.04999999999998,T2B0000036,640901012
12,669.5799999999981,T2B0000036,640901013
12,-1385.19,T2B0000036,641601000
12,-2804.8,T2B0000036,660801000
12,-51.23,T2B0000036,661201000
12,-71.76,T2B0000036,661202000
12,-1357.16,T2B0000036,661402000
12,1094.8400000000001,T2B0000036,662202000
12,1819.9499999999998,T2B0000036,662204000
12,-42.4,T2B0000036,662212000
12,-999.09,T2B0000036,662213000
12,-129.6,T2B0000036,663701000
12,-514.57,T2B0000036,664001000
12,-2.08,T2B0000036,664101000
12,-38.95,T2B0000036,664104000
12,32.730000000000004,T2B0000036,664605019
12,-288,T2B0000036,710516000
12,-193.47,T2B0000037,610501000
12,-106.35000000000001,T2B0000037,611601000
12,-6.2,T2B0000037,613101000
12,-37545.24,T2B0000037,640301000
